id, generations, popSize, bestPopSize, holePos, mutationRate, crossoverRate, runType, endFitness, endGeneration, time(ms), time(s)
60,10000,2000,4,800000.00,0.10,0.20,Multi,0.973897,3443,4041 ms, 4 s
61,10000,2000,4,800000.00,0.10,0.60,Multi,0.973260,3290,3356 ms, 3 s
62,10000,2000,4,800000.00,0.30,0.20,Multi,0.991211,9865,10716 ms, 10 s
63,10000,2000,4,800000.00,0.30,0.60,Multi,0.966030,5588,5799 ms, 5 s
64,10000,2000,4,800000.00,0.60,0.20,Multi,null,10000,10707 ms, 10 s
65,10000,2000,4,800000.00,0.60,0.60,Multi,null,10000,10524 ms, 10 s
66,10000,2000,8,800000.00,0.10,0.20,Multi,0.984820,2896,3111 ms, 3 s
67,10000,2000,8,800000.00,0.10,0.60,Multi,0.969728,2089,2134 ms, 2 s
68,10000,2000,8,800000.00,0.30,0.20,Multi,0.981207,5926,6558 ms, 6 s
69,10000,2000,8,800000.00,0.30,0.60,Multi,0.965717,1286,1378 ms, 1 s
70,10000,2000,8,800000.00,0.60,0.20,Multi,null,10000,11154 ms, 11 s
71,10000,2000,8,800000.00,0.60,0.60,Multi,0.990285,7932,8395 ms, 8 s
72,20000,1000,4,300000.00,0.10,0.20,Multi,0.953136,1377,842 ms, 0 s
73,20000,1000,4,300000.00,0.10,0.60,Multi,0.953136,1377,840 ms, 0 s
74,20000,1000,4,300000.00,0.30,0.20,Multi,0.982401,8787,5411 ms, 5 s
75,20000,1000,4,300000.00,0.30,0.60,Multi,0.982401,8787,5426 ms, 5 s
76,20000,1000,4,300000.00,0.60,0.20,Multi,null,20000,12420 ms, 12 s
77,20000,1000,4,300000.00,0.60,0.60,Multi,null,20000,12609 ms, 12 s
78,20000,1000,8,300000.00,0.10,0.20,Multi,0.977582,1146,693 ms, 0 s
79,20000,1000,8,300000.00,0.10,0.60,Multi,0.977582,1146,717 ms, 0 s
80,20000,1000,8,300000.00,0.30,0.20,Multi,0.976019,3598,2313 ms, 2 s
81,20000,1000,8,300000.00,0.30,0.60,Multi,0.976019,3598,2187 ms, 2 s
82,20000,1000,8,300000.00,0.60,0.20,Multi,0.957163,5637,3939 ms, 3 s
83,20000,1000,8,300000.00,0.60,0.60,Multi,0.957163,5637,3574 ms, 3 s
84,20000,2000,4,300000.00,0.10,0.20,Multi,0.953136,1377,1532 ms, 1 s
85,20000,2000,4,300000.00,0.10,0.60,Multi,0.980640,1265,1346 ms, 1 s
86,20000,2000,4,300000.00,0.30,0.20,Multi,0.981158,8735,9590 ms, 9 s
87,20000,2000,4,300000.00,0.30,0.60,Multi,0.993727,1595,1704 ms, 1 s
88,20000,2000,4,300000.00,0.60,0.20,Multi,null,20000,21532 ms, 21 s
89,20000,2000,4,300000.00,0.60,0.60,Multi,0.980681,5807,6222 ms, 6 s
90,20000,2000,8,300000.00,0.10,0.20,Multi,0.970766,1142,1216 ms, 1 s
91,20000,2000,8,300000.00,0.10,0.60,Multi,0.970247,1124,1173 ms, 1 s
92,20000,2000,8,300000.00,0.30,0.20,Multi,0.992154,4473,4768 ms, 4 s
93,20000,2000,8,300000.00,0.30,0.60,Multi,0.971814,1297,1387 ms, 1 s
94,20000,2000,8,300000.00,0.60,0.20,Multi,0.964973,5630,6081 ms, 6 s
95,20000,2000,8,300000.00,0.60,0.60,Multi,0.978024,3255,3476 ms, 3 s
96,20000,1000,4,500000.00,0.10,0.20,Multi,0.985230,2154,1296 ms, 1 s
97,20000,1000,4,500000.00,0.10,0.60,Multi,0.985230,2154,1295 ms, 1 s
98,20000,1000,4,500000.00,0.30,0.20,Multi,0.999832,12011,7426 ms, 7 s
99,20000,1000,4,500000.00,0.30,0.60,Multi,0.999832,12011,7358 ms, 7 s
100,20000,1000,4,500000.00,0.60,0.20,Multi,null,20000,12399 ms, 12 s
101,20000,1000,4,500000.00,0.60,0.60,Multi,null,20000,12943 ms, 12 s
102,20000,1000,8,500000.00,0.10,0.20,Multi,0.996783,1763,1095 ms, 1 s
103,20000,1000,8,500000.00,0.10,0.60,Multi,0.996783,1763,1056 ms, 1 s
104,20000,1000,8,500000.00,0.30,0.20,Multi,0.986472,8841,5628 ms, 5 s
105,20000,1000,8,500000.00,0.30,0.60,Multi,0.986472,8841,5573 ms, 5 s
106,20000,1000,8,500000.00,0.60,0.20,Multi,0.981411,5727,3667 ms, 3 s
107,20000,1000,8,500000.00,0.60,0.60,Multi,0.981411,5727,3680 ms, 3 s
108,20000,2000,4,500000.00,0.10,0.20,Multi,0.985230,2154,2456 ms, 2 s
109,20000,2000,4,500000.00,0.10,0.60,Multi,0.964270,2097,2270 ms, 2 s
110,20000,2000,4,500000.00,0.30,0.20,Multi,0.989358,6909,7810 ms, 7 s
111,20000,2000,4,500000.00,0.30,0.60,Multi,0.993848,2820,3049 ms, 3 s
112,20000,2000,4,500000.00,0.60,0.20,Multi,null,20000,22624 ms, 22 s
113,20000,2000,4,500000.00,0.60,0.60,Multi,0.988187,7343,8168 ms, 8 s
114,20000,2000,8,500000.00,0.10,0.20,Multi,0.996783,1763,1984 ms, 1 s
115,20000,2000,8,500000.00,0.10,0.60,Multi,0.986504,1805,1959 ms, 1 s
116,20000,2000,8,500000.00,0.30,0.20,Multi,0.952898,4218,4798 ms, 4 s
117,20000,2000,8,500000.00,0.30,0.60,Multi,0.961876,1169,1297 ms, 1 s
118,20000,2000,8,500000.00,0.60,0.20,Multi,0.997197,9962,11550 ms, 11 s
119,20000,2000,8,500000.00,0.60,0.60,Multi,0.994941,5642,6498 ms, 6 s
120,20000,1000,4,800000.00,0.10,0.20,Multi,0.950285,3441,2217 ms, 2 s
121,20000,1000,4,800000.00,0.10,0.60,Multi,0.950285,3441,2217 ms, 2 s
122,20000,1000,4,800000.00,0.30,0.20,Multi,0.977229,19088,12422 ms, 12 s
123,20000,1000,4,800000.00,0.30,0.60,Multi,0.977229,19088,12345 ms, 12 s
124,20000,1000,4,800000.00,0.60,0.20,Multi,null,20000,13054 ms, 13 s
125,20000,1000,4,800000.00,0.60,0.60,Multi,null,20000,13215 ms, 13 s
126,20000,1000,8,800000.00,0.10,0.20,Multi,0.964746,2882,1820 ms, 1 s
127,20000,1000,8,800000.00,0.10,0.60,Multi,0.964746,2882,1845 ms, 1 s
128,20000,1000,8,800000.00,0.30,0.20,Multi,0.987291,9754,6468 ms, 6 s
129,20000,1000,8,800000.00,0.30,0.60,Multi,0.987291,9754,6413 ms, 6 s
130,20000,1000,8,800000.00,0.60,0.20,Multi,0.963388,5721,3822 ms, 3 s
131,20000,1000,8,800000.00,0.60,0.60,Multi,0.963388,5721,3815 ms, 3 s
132,20000,2000,4,800000.00,0.10,0.20,Multi,0.973897,3443,3806 ms, 3 s
133,20000,2000,4,800000.00,0.10,0.60,Multi,0.973260,3290,3589 ms, 3 s
134,20000,2000,4,800000.00,0.30,0.20,Multi,0.991211,9865,10980 ms, 10 s
135,20000,2000,4,800000.00,0.30,0.60,Multi,0.966030,5588,6170 ms, 6 s
136,20000,2000,4,800000.00,0.60,0.20,Multi,null,20000,23229 ms, 23 s
137,20000,2000,4,800000.00,0.60,0.60,Multi,0.957833,15178,16968 ms, 16 s
138,20000,2000,8,800000.00,0.10,0.20,Multi,0.984820,2896,3296 ms, 3 s
139,20000,2000,8,800000.00,0.10,0.60,Multi,0.969728,2089,2302 ms, 2 s
140,20000,2000,8,800000.00,0.30,0.20,Multi,0.981207,5926,6855 ms, 6 s
141,20000,2000,8,800000.00,0.30,0.60,Multi,0.965717,1286,1452 ms, 1 s
142,20000,2000,8,800000.00,0.60,0.20,Multi,null,20000,23515 ms, 23 s
143,20000,2000,8,800000.00,0.60,0.60,Multi,0.990285,7932,9078 ms, 9 s
